Genotype,Temp,Frequency,tindex,t1,t2,t3,t4,t5,t6,t7,t8,growthrate,R2,Genot
10881,25,0,55,0,22.5,76,105,158.5,181.5,227.5,NA,3.22255067567567,0.998539515552512,X10881
10881,25,0,56,0,15,70,99.5,154.5,180.5,228.5,NA,3.33711790393013,0.998883727423054,X10881
10881,25,0,55,0,19.5,71.5,97.5,150,172.5,218,240.5,3.05842391304348,0.998902261787062,X10881
10881,25-35,120,55,0,23,85.5,117,191.5,222.5,NA,NA,4.0525,0.995824768390964,X10881
10881,25-35,120,55,0,26,93,126.5,196,225.5,NA,NA,4.10333333333333,0.998896452825213,X10881
10881,25-35,120,55,0,28,95,125.5,184,NA,NA,NA,3.88157894736842,0.998864640240849,X10881
10881,25-35,480,55,0,22,89.5,122,195,221,NA,NA,4.07416666666667,0.996911507093142,X10881
10881,25-35,480,55,0,27,97,133.5,201,232,NA,NA,4.2175,0.99910249345304,X10881
10881,25-35,480,55,0,31,94,126,190,220,NA,NA,3.945,0.999947348929354,X10881
10881,30,0,55,0,31,97.5,131.5,191,217.5,NA,NA,3.9275,0.99851296100401,X10881
10881,30,0,55,0,27.5,103,140,201.5,NA,NA,NA,4.29769736842105,0.997088548209517,X10881
10881,30,0,55,0,25.5,97.5,130.5,193,221.5,NA,NA,4.035,0.998326191409245,X10881
10881,32,0,55,0,28,104.5,142.5,217,247,NA,NA,4.52,0.998589956880454,X10881
10881,32,0,55,0,33.5,116,157,233.5,NA,NA,NA,4.92598684210526,0.999190633833487,X10881
10881,32,0,55,0,34,111,145,NA,NA,NA,NA,4.5875,0.999098464049863,X10881
10881,32-42,120,55,0,23,83.5,114.5,174,198,248,NA,3.52604166666667,0.997991805305358,X10881
10881,32-42,120,55,0,27,85,114.5,172,196,NA,NA,3.54416666666667,0.999480810863459,X10881
10881,32-42,120,55,0,21,62,83,127,147,187.5,204.5,2.58491847826087,0.999465262017814,X10881
10881,32-42,480,55,0,22.5,86,115,179.5,205,NA,NA,3.74833333333333,0.998451407160946,X10881
10881,32-42,480,55,0,25,89,121,181,206.5,NA,NA,3.7625,0.998878870195224,X10881
10881,32-42,480,55,0,26,82.5,110.5,166,192,NA,NA,3.45333333333333,0.999864334540542,X10881
10881,35,0,55,0,38,116,150,213,NA,NA,NA,4.47587719298246,0.996435907221222,X10881
10881,35,0,56,0,27,110,146,NA,NA,NA,NA,4.93696027633852,0.99889018957855,X10881
10881,35,0,55,0,31.5,111.5,150,219.5,NA,NA,NA,4.64912280701754,0.998570494150982,X10881
10881,37,0,55,0,27,106,144.5,219,NA,NA,NA,4.64254385964912,0.997742034201462,X10881
10881,37,0,55,0,30,107,142,213,NA,NA,NA,4.49232456140351,0.99904469592715,X10881
10881,37,0,55,0,31,112,149,221.5,NA,NA,NA,4.68311403508772,0.998781547094884,X10881
10881,42,0,55,0,4,21,33,54.5,65,84.5,95,1.23165760869565,0.994359415768628,X10881
10881,42,0,55,0,3.5,16,24,40,48.5,61.5,66.5,0.877038043478261,0.994366483397501,X10881
10881,42,0,55,0,4.5,16,22.5,33.5,40,49.5,52.5,0.681385869565217,0.995854366901364,X10881
10882,25,0,55,0,25.5,79,103.5,149.5,171,213,231,2.9008152173913,0.996261077184189,X10882
10882,25,0,56,0,16,69.5,93,140,160,200.5,219,2.83756433743348,0.996288711814361,X10882
10882,25,0,55,0,24,78.5,101,145,164.5,204,225.5,2.80366847826087,0.995742721510049,X10882
10882,25-35,120,60,0,27,88,113,162,184,231,249,3.12938279989812,0.996703889944463,X10882
10882,25-35,120,55,0,20,77.5,101.5,155,175,221,NA,3.1299268018018,0.99775912463119,X10882
10882,25-35,120,55,0,23.5,74,100,142,163,203,NA,2.84163851351351,0.996844982872089,X10882
10882,25-35,480,61,0,24,85,114,166,188,231.5,NA,3.30897931429389,0.994510822238139,X10882
10882,25-35,480,55,0,27,86,110.5,162,184,236.5,NA,3.27378941441442,0.998495089872721,X10882
10882,25-35,480,55,0,25.5,77,99.5,142.5,168,213,NA,2.94270833333333,0.998870995245655,X10882
10882,30,0,55,0,33,86.5,112,162.5,188,NA,NA,3.315,0.998231830831267,X10882
10882,30,0,55,0,31.5,97.5,125.5,178.5,202,NA,NA,3.62833333333333,0.995454760465666,X10882
10882,30,0,55,0,27.5,84.5,112,165,193,NA,NA,3.44333333333333,0.999789474300639,X10882
10882,32,0,55,0,31,95,122,179.5,204.5,NA,NA,3.66833333333333,0.998306010647344,X10882
10882,32,0,55,0,31,102,133.5,192,217.5,NA,NA,3.93166666666667,0.996786292002922,X10882
10882,32,0,55,0,34,96.5,126.5,179.5,201,NA,NA,3.6075,0.995071334893307,X10882
10882,32-42,120,62,0,18,69,90,127,146,180,194,2.47569451916249,0.993773351960898,X10882
10882,32-42,120,55,NA,NA,0,28,82.5,106,151.5,168,3.02833333333333,0.993789133432289,X10882
10882,32-42,120,55,0,24,63,84.5,124.5,140.5,170,185,2.31521739130435,0.99335928155973,X10882
10882,32-42,480,62,0,19,73,94,142.5,160.5,199,216,2.7690387553528,0.995888728523029,X10882
10882,32-42,480,55,0,45,90.5,115.5,164.5,183,223,NA,3.02069256756757,0.98767893254932,X10882
10882,32-42,480,55,0,21,64.5,89,130,147,180,199.5,2.49932065217391,0.995847684811431,X10882
10882,35,0,55,0,38.5,100,128.5,180.5,204,NA,NA,3.61083333333333,0.99375067073502,X10882
10882,35,0,56,0,25,97,126.5,181,204,NA,NA,3.8138638347396,0.992636808062482,X10882
10882,35,0,55,0,29,86,112.5,167,191,NA,NA,3.4225,0.999298154136491,X10882
10882,37,0,55,0,29,88.5,112.5,169,193,NA,NA,3.45833333333333,0.99892674606812,X10882
10882,37,0,55,0,32.5,97,121,169,192.5,NA,NA,3.42333333333333,0.992341148547972,X10882
10882,37,0,55,0,29.5,87.5,111.5,154,175,219.5,NA,3.0201295045045,0.993353886881806,X10882
10882,42,0,55,0,5,12,14.5,20.5,23,25,25,0.316576086956522,0.934188762105056,X10882
10882,42,0,55,0,6,13.5,19,26,28,28,30.5,0.375679347826087,0.906534573449404,X10882
10882,42,0,55,0,5,8.5,9.5,9.5,9.5,12,12,0.122282608695652,0.754565542340937,X10882
10883,25,0,55,0,27,84.5,107.5,156.5,181,NA,NA,3.22916666666667,0.998138053368045,X10883
10883,25,0,55,0,27.5,86.5,115,171.5,197,NA,NA,3.54583333333333,0.999641086734151,X10883
10883,25,0,55,0,25.5,82.5,110,165.5,188,237,NA,3.33051801801802,0.998685042023256,X10883
10883,25-35,120,55,0,29,95,126,197.5,225,NA,NA,4.08083333333334,0.99907722726482,X10883
10883,25-35,120,55,0,31.5,101,134,198,NA,NA,NA,4.15515350877193,0.999594027500593,X10883
10883,25-35,120,55,0,27,92,122,178,203.5,NA,NA,3.6825,0.998352965544223,X10883
10883,25-35,480,55,0,28,100.5,133.5,199,226,NA,NA,4.11666666666667,0.998485667043203,X10883
10883,25-35,480,55,0,32.5,99.5,129.5,195.5,NA,NA,NA,4.07017543859649,0.999800691831548,X10883
10883,25-35,480,55,0,31.5,101,132,196,NA,NA,NA,4.10690789473684,0.999495157646199,X10883
10883,30,0,55,0,32.5,108.5,141,204,NA,NA,NA,4.30482456140351,0.997779244607657,X10883
10883,30,0,55,NA,NA,0,36,105,139,207.5,NA,4.31469298245614,0.999916909856019,X10883
10883,30,0,55,0,35,105,137,203,NA,NA,NA,4.23245614035088,0.999574173821173,X10883
10883,32,0,55,0,31.5,110.5,146,210,238.5,NA,NA,4.32916666666667,0.996803072007569,X10883
10883,32,0,55,0,35.5,118.5,156.5,NA,NA,NA,NA,4.95,0.998987951807229,X10883
10883,32,0,55,0,32,114,149.5,NA,NA,NA,NA,4.7625,0.997515076748494,X10883
10883,32-42,120,55,0,21,73,98.5,151,176,228,250,3.17459239130435,0.999646451674278,X10883
10883,32-42,120,55,0,25,74,101.5,157,179.5,207,NA,3.00717905405405,0.989148148030413,X10883
10883,32-42,120,55,0,17.5,55.5,78,118,138,181,200,2.5258152173913,0.999454374232465,X10883
10883,32-42,480,55,0,21,87.5,118,180,204,NA,NA,3.75583333333333,0.997649047420745,X10883
10883,32-42,480,55,0,26,85,113,168.5,191.5,NA,NA,3.46833333333333,0.999072979100207,X10883
10883,32-42,480,55,0,23,78,106,162.5,184,NA,NA,3.35583333333333,0.998937495860424,X10883
10883,35,0,55,0,38,111.5,145.5,NA,NA,NA,NA,4.55625,0.99952314666767,X10883
10883,35,0,55,NA,NA,NA,NA,0,42,125.5,164,5.14375,0.99964907101607,X10883
10883,35,0,55,0,40.5,117.5,153.5,NA,NA,NA,NA,4.8,0.999482651232358,X10883
10883,37,0,55,0,34,112,145,214.5,NA,NA,NA,4.50438596491228,0.998975248298995,X10883
10883,37,0,55,0,35,111,143,217,NA,NA,NA,4.52412280701754,0.999538063996457,X10883
10883,37,0,55,0,30.5,101.5,131,197,NA,NA,NA,4.12828947368421,0.999266729065203,X10883
