Genot,Temp,Frequency,meangr
P4448,25,0,3.23180534655093
P4448,25-35,120,3.92154368108567
P4448,25-35,480,4.14756732129583
P4448,30,0,4.35720294426919
P4448,32,0,4.43797184488938
P4448,32-42,120,3.46993476152537
P4448,32-42,480,3.74618320610687
P4448,35,0,4.88045260770975
P4448,37,0,4.60075681166262
P4448,42,0,1.24748207579379
P4451,25,0,2.97001251849323
P4451,25-35,120,3.42005937234945
P4451,25-35,480,3.11875571831535
P4451,30,0,3.72677882930249
P4451,32,0,3.6950227830354
P4451,32-42,120,2.64252589052009
P4451,32-42,480,3.08615996649916
P4451,35,0,4.39474938661059
P4451,37,0,3.78398177357168
P4451,42,0,1.43181688858541
P4452,25,0,3.08868517766603
P4452,25-35,120,3.30958439355386
P4452,25-35,480,3.17224226135747
P4452,30,0,3.6577637574483
P4452,32,0,3.65723799509288
P4452,32-42,120,2.14249743939911
P4452,32-42,480,2.5906207133059
P4452,35,0,3.39782684893095
P4452,37,0,3.42578813848865
P4452,42,0,0.550102424035507
P4457,25,0,3.36049650487524
P4457,25-35,120,4.15330788804071
P4457,25-35,480,4.1452413495432
P4457,30,0,4.76791383219955
P4457,32,0,4.74365079365079
P4457,32-42,120,3.76126883981773
P4457,32-42,480,4.10345384849758
P4457,35,0,5.09101133786848
P4457,37,0,4.9972
P4457,42,0,1.04583475588938
P4459,25,0,3.32130252886458
P4459,25-35,120,4.11407972858355
P4459,25-35,480,3.98098458144498
P4459,30,0,4.5437641723356
P4459,32,0,4.64773242630386
P4459,32-42,120,3.54738871363477
P4459,32-42,480,3.76908396946565
P4459,35,0,4.82183854875284
P4459,37,0,4.32935792613575
P4459,42,0,1.21122112211221
P4463,25,0,1.85390349379766
P4463,25-35,120,1.5525548696845
P4463,25-35,480,1.50184241898775
P4463,30,0,1.50409696142028
P4463,32,0,1.88229348225805
P4463,32-42,120,1.23223227495163
P4463,32-42,480,1.31721536351166
P4463,35,0,1.39409070217367
P4463,37,0,1.36161374758165
P4463,42,0,0.099651597317204
P4468,25,0,2.99146466370775
P4468,25-35,120,3.72540288379983
P4468,25-35,480,3.62312063880296
P4468,30,0,4.02386961093586
P4468,32,0,4.20188559125017
P4468,32-42,120,2.99395004327874
P4468,32-42,480,3.35095483780224
P4468,35,0,4.53684807256236
P4468,37,0,4.23402254697883
P4468,42,0,0.14377773984295
P4471,25,0,3.27094142943954
P4471,25-35,120,4.37108953613808
P4471,25-35,480,4.26359409088667
P4471,30,0,4.64795918367347
P4471,32,0,4.38820861678005
P4471,32-42,120,3.68611987381703
P4471,32-42,480,3.65860899067006
P4471,35,0,4.88406802721089
P4471,37,0,4.49302131519274
P4471,42,0,1.51984465687948
P4472,25,0,2.70955673153522
P4472,25-35,120,3.47752332485157
P4472,25-35,480,3.20557274057022
P4472,30,0,3.3600833234905
P4472,32,0,3.24629748579277
P4472,32-42,120,2.64596847615796
P4472,32-42,480,2.76423182441701
P4472,35,0,3.95103399929898
P4472,37,0,3.54693305292674
P4472,42,0,0.933737339251166
P4479,25,0,2.90439000796631
P4479,25-35,120,3.60178117048346
P4479,25-35,480,3.56372443229504
P4479,30,0,3.82225727304592
P4479,32,0,3.70946372239748
P4479,32-42,120,3.52057483350859
P4479,32-42,480,3.78795589482612
P4479,35,0,4.92006893424036
P4479,37,0,4.76189206349206
P4479,42,0,1.08531068624104
P4486,25,0,2.75704347438986
P4486,25-35,120,2.81018518518519
P4486,25-35,480,2.77336440157509
P4486,30,0,3.06363290101514
P4486,32,0,2.86219911612968
P4486,32-42,120,2.22455047228861
P4486,32-42,480,2.42704046639232
P4486,35,0,3.70608514106076
P4486,37,0,2.92725397273164
P4486,42,0,1.0191618299761
P4496,25,0,3.03436772753747
P4496,25-35,120,3.49003392705683
P4496,25-35,480,3.39643430928231
P4496,30,0,3.67914475990186
P4496,32,0,3.46575534525061
P4496,32-42,120,3.05575874108526
P4496,32-42,480,3.64546225614928
P4496,35,0,4.63163265306122
P4496,37,0,4.59206349206349
P4496,42,0,0.963554114032093
X10881,25,0,3.20603083088309
X10881,25-35,120,4.01247076023392
X10881,25-35,480,4.07888888888889
X10881,30,0,4.08673245614035
X10881,32,0,4.67782894736842
X10881,32-42,120,3.21837560386474
X10881,32-42,480,3.65472222222222
X10881,35,0,4.68732009211284
X10881,37,0,4.60599415204678
X10881,42,0,0.930027173913043
X10882,25,0,2.84734934436189
X10882,25-35,120,3.03364937173781
X10882,25-35,480,3.17515902068055
X10882,30,0,3.46222222222222
X10882,32,0,3.73583333333333
X10882,32-42,120,2.60641508126672
X10882,32-42,480,2.76301732503143
X10882,35,0,3.61573238935764
X10882,37,0,3.30059872372372
X10882,42,0,0.27151268115942
X10883,25,0,3.36850600600601
X10883,25-35,120,3.97282894736842
X10883,25-35,480,4.09791666666667
X10883,30,0,4.28399122807018
X10883,32,0,4.68055555555556
X10883,32-42,120,2.90252888758323
X10883,32-42,480,3.52666666666666
X10883,35,0,4.83333333333333
X10883,37,0,4.38559941520468
X10883,42,0,0.158061594202899
X10884,25,0,2.65238035070618
X10884,25-35,120,3.24156531531531
X10884,25-35,480,3.13282861666014
X10884,30,0,3.3475
X10884,32,0,3.81610380116959
X10884,32-42,120,2.88473731884058
X10884,32-42,480,3.33993243243243
X10884,35,0,3.86744172494172
X10884,37,0,3.74111111111111
X10884,42,0,1.29732789855073
X10885,25,0,3.24114882895996
X10885,25-35,120,3.78224752956606
X10885,25-35,480,3.74032478814731
X10885,30,0,3.95609649122807
X10885,32,0,4.32835526315789
X10885,32-42,120,3.02012289770853
X10885,32-42,480,3.34559872372372
X10885,35,0,4.68038073038073
X10885,37,0,4.47532894736842
X10885,42,0,1.00249094202898
X10886,25,0,3.18447455607782
X10886,25-35,120,3.77271267213893
X10886,25-35,480,3.81596909280451
X10886,30,0,4.06972222222222
X10886,32,0,4.36138888888889
X10886,32-42,120,2.87591848478222
X10886,32-42,480,3.29701116555754
X10886,35,0,4.28590643274854
X10886,37,0,3.91083333333333
X10886,42,0,0.648324275362319
X10887,25,0,3.05814171839135
X10887,25-35,120,3.77954137741296
X10887,25-35,480,3.96604113955488
X10887,30,0,4.04225877192983
X10887,32,0,4.62956871345029
X10887,32-42,120,3.310854081686
X10887,32-42,480,3.78682995495495
X10887,35,0,4.81440399357634
X10887,37,0,4.6390716374269
X10887,42,0,1.12228260869565
X10888,25,0,3.24174174174174
X10888,25-35,120,3.79097524666652
X10888,25-35,480,4.00062525797043
X10888,30,0,4.04798976608187
X10888,32,0,4.45328216374269
X10888,32-42,120,2.72555072428683
X10888,32-42,480,3.19354689091192
X10888,35,0,4.57598684210526
X10888,37,0,3.98823099415205
X10888,42,0,0.088088768115942
X10889,25,0,3.39107357357357
X10889,25-35,120,3.67403481597057
X10889,25-35,480,3.87859353898642
X10889,30,0,4.25619939271255
X10889,32,0,4.03313596491228
X10889,32-42,120,2.83485129621382
X10889,32-42,480,3.32795194977907
X10889,35,0,4.64009502923977
X10889,37,0,4.47002923976608
X10889,42,0,0.122509057971014
X10890,25,0,3.18820382882883
X10890,25-35,120,4.16791867998751
X10890,25-35,480,4.0683520111198
X10890,30,0,4.20973684210526
X10890,32,0,4.44663742690059
X10890,32-42,120,2.97854683470393
X10890,32-42,480,3.4276295045045
X10890,35,0,4.68245614035088
X10890,37,0,4.11638888888889
X10890,42,0,1.18591485507246
X10891,25,0,3.04081951528612
X10891,25-35,120,3.75757782526438
X10891,25-35,480,3.95309158828314
X10891,30,0,3.98472222222222
X10891,32,0,4.4255701754386
X10891,32-42,120,3.07148774514925
X10891,32-42,480,3.41034646490436
X10891,35,0,4.47211870731608
X10891,37,0,4.07695175438597
X10891,42,0,1.18953804347826
X10892,25,0,2.88313172769478
X10892,25-35,120,3.47178575808171
X10892,25-35,480,3.5619101472097
X10892,30,0,3.52472222222222
X10892,32,0,3.90666666666667
X10892,32-42,120,2.52177977542641
X10892,32-42,480,3.01370404658899
X10892,35,0,4.04611013986014
X10892,37,0,3.85777777777778
X10892,42,0,0.784420289855072
X10893,25,0,3.22139598837968
X10893,25-35,120,3.88014747164372
X10893,25-35,480,4.1094357568697
X10893,30,0,4.08525584795322
X10893,32,0,4.37026258048399
X10893,32-42,120,3.23821439630845
X10893,32-42,480,3.53150572815902
X10893,35,0,4.45266812865497
X10893,37,0,4.52638888888889
X10893,42,0,0.642733032913703
X10894,25,0,3.18097597597598
X10894,25-35,120,3.91740351928484
X10894,25-35,480,4.02060540905537
X10894,30,0,4.37701023391813
X10894,32,0,4.60790935672514
X10894,32-42,120,3.43970687743811
X10894,32-42,480,3.79711524024024
X10894,35,0,4.63333333333333
X10894,37,0,4.39703947368421
X10894,42,0,0.641077898550725
X10895,25,0,3.26228228228228
X10895,25-35,120,3.79181223571445
X10895,25-35,480,3.99502402839971
X10895,30,0,4.1374269005848
X10895,32,0,4.69828216374269
X10895,32-42,120,3.18353709028744
X10895,32-42,480,3.56411411411411
X10895,35,0,4.64184941520468
X10895,37,0,4.46856725146199
X10895,42,0,1.3023097826087
X10896,25,0,2.9190851678431
X10896,25-35,120,3.75981683739231
X10896,25-35,480,4.00364830873236
X10896,30,0,4.08763157894737
X10896,32,0,4.6556067251462
X10896,32-42,120,3.17955273980809
X10896,32-42,480,3.56373310810811
X10896,35,0,4.55082326299431
X10896,37,0,4.20388157894737
X10896,42,0,0.945199275362316
X10897,25,0,2.81308179862241
X10897,25-35,120,3.08545307766379
X10897,25-35,480,3.22286547673398
X10897,30,0,3.39305555555556
X10897,32,0,3.4921021021021
X10897,32-42,120,2.39236446530156
X10897,32-42,480,2.50760601749759
X10897,35,0,3.38729754630977
X10897,37,0,2.86241023632328
X10897,42,0,0.652173913043478
X10898,25,0,3.13551981293521
X10898,25-35,120,3.79944444444445
X10898,25-35,480,3.77472222222222
X10898,30,0,4.05333333333333
X10898,32,0,4.49405701754386
X10898,32-42,120,3.16903308199504
X10898,32-42,480,3.58083333333333
X10898,35,0,4.35719799206641
X10898,37,0,4.45940789473684
X10898,42,0,0.861639492753622
X10899,25,0,2.27137457535081
X10899,25-35,120,2.329467181523
X10899,25-35,480,2.14061288105813
X10899,30,0,2.99430555555556
X10899,32,0,2.31978865423005
X10899,32-42,120,1.39295917057825
X10899,32-42,480,1.7368876898527
X10899,35,0,3.71760305671163
X10899,37,0,1.8686205734042
X10899,42,0,0.41802536231884
X10900,25,0,3.40386261261261
X10900,25-35,120,3.67027777777778
X10900,25-35,480,3.8
X10900,30,0,4.01619883040936
X10900,32,0,4.25461257309942
X10900,32-42,120,2.49886775362319
X10900,32-42,480,2.83537137681159
X10900,35,0,4.20365497076023
X10900,37,0,3.67888888888889
X10900,42,0,0.24320652173913
X10901,25,0,3.00054704992876
X10901,25-35,120,3.75333333333333
X10901,25-35,480,3.96392543859649
X10901,30,0,3.84611111111111
X10901,32,0,4.4021418128655
X10901,32-42,120,3.02287341689516
X10901,32-42,480,3.08060084541063
X10901,35,0,4.23262610927085
X10901,37,0,3.90916666666667
X10901,42,0,0.07518115942029
X10902,25,0,3.08364342603473
X10902,25-35,120,3.72166666666667
X10902,25-35,480,3.79666666666667
X10902,30,0,3.96833333333333
X10902,32,0,4.36352339181286
X10902,32-42,120,2.58152173913043
X10902,32-42,480,3.01714078208643
X10902,35,0,4.50219298245614
X10902,37,0,4.20666666666667
X10902,42,0,0.287590579710145
X10903,25,0,3.36030593093093
X10903,25-35,120,4.15493421052632
X10903,25-35,480,4.09222222222222
X10903,30,0,4.48793859649123
X10903,32,0,4.69375
X10903,32-42,120,3.57178442028986
X10903,32-42,480,3.75861111111111
X10903,35,0,5.17708333333333
X10903,37,0,4.65076754385965
X10903,42,0,0.866621376811593
X10904,25,0,2.92232789855072
X10904,25-35,120,3.59599370281856
X10904,25-35,480,3.90421628891564
X10904,30,0,4.04944444444445
X10904,32,0,4.47581819495901
X10904,32-42,120,2.46645391191461
X10904,32-42,480,3.25512764848906
X10904,35,0,4.74031432748538
X10904,37,0,4.32472222222222
X10904,42,0,0.901397138245595
X10905,25,0,2.72634265870532
X10905,25-35,120,3.44553115615616
X10905,25-35,480,3.31326013513514
X10905,30,0,3.52
X10905,32,0,4.02864035087719
X10905,32-42,120,2.71240942028985
X10905,32-42,480,3.42137199699699
X10905,35,0,4.02991647241647
X10905,37,0,3.86916666666667
X10905,42,0,0.884510869565216
X10906,25,0,2.96428425708317
X10906,25-35,120,3.21595533033033
X10906,25-35,480,3.42358858858859
X10906,30,0,3.52027777777778
X10906,32,0,3.79293128654971
X10906,32-42,120,2.59329710144927
X10906,32-42,480,2.96013888888889
X10906,35,0,3.68945906432749
X10906,37,0,3.60583333333333
X10906,42,0,0.279891304347826
X10907,25,0,2.68942344588196
X10907,25-35,120,3.48934872372372
X10907,25-35,480,3.68055555555556
X10907,30,0,3.52444444444444
X10907,32,0,4.03307748538012
X10907,32-42,120,3.19206774709492
X10907,32-42,480,3.2519237987988
X10907,35,0,4.36826514129146
X10907,37,0,4.22916666666667
X10907,42,0,0.79393115942029
X10908,25,0,3.43841028528529
X10908,25-35,120,4.00639976021196
X10908,25-35,480,4.19045013685028
X10908,30,0,4.23611111111111
X10908,32,0,4.59471659344941
X10908,32-42,120,3.49098382694747
X10908,32-42,480,3.71422565532415
X10908,35,0,4.6875
X10908,37,0,4.71125730994152
X10908,42,0,1.43926201815467
X10909,25,0,3.17309905013709
X10909,25-35,120,3.87555384076159
X10909,25-35,480,3.91214743210052
X10909,30,0,4.24889619883041
X10909,32,0,4.38962719298246
X10909,32-42,120,3.33874557721684
X10909,32-42,480,3.87611111111111
X10909,35,0,5.1125
X10909,37,0,4.50913742690058
X10909,42,0,0.891530797101451
X10910,25,0,3.55063381316099
X10910,25-35,120,3.45753727486899
X10910,25-35,480,3.55846849426193
X10910,30,0,3.85444444444445
X10910,32,0,3.95444444444445
X10910,32-42,120,3.21115856121322
X10910,32-42,480,3.63322635135135
X10910,35,0,4.85040204678363
X10910,37,0,4.49908625730994
X10910,42,0,0.891304347826088
X10911,25,0,3.21803851818522
X10911,25-35,120,3.94110915134658
X10911,25-35,480,3.99190728631112
X10911,30,0,4.04927631578947
X10911,32,0,4.52453216374269
X10911,32-42,120,3.12912418518278
X10911,32-42,480,3.76577327327327
X10911,35,0,4.50938592657343
X10911,37,0,4.15016081871345
X10911,42,0,0.970788043478259
X10912,25,0,3.11176801801802
X10912,25-35,120,3.62431204299587
X10912,25-35,480,3.62754622670771
X10912,30,0,3.9269298245614
X10912,32,0,4.10326754385965
X10912,32-42,120,2.88807890961327
X10912,32-42,480,3.31527651173101
X10912,35,0,4.475
X10912,37,0,4.05951754385965
X10912,42,0,1.26630434782609
X10914,25,0,2.75052634155895
X10914,25-35,120,3.42528903903904
X10914,25-35,480,3.59366178678679
X10914,30,0,3.605
X10914,32,0,3.67628398134977
X10914,32-42,120,2.54053442028986
X10914,32-42,480,3.01775484723854
X10914,35,0,4.11515366212735
X10914,37,0,3.83209795321638
X10914,42,0,0.731204710144928
X10915,25,0,3.30036036036036
X10915,25-35,120,3.70194444444445
X10915,25-35,480,3.68138888888889
X10915,30,0,3.78329678362573
X10915,32,0,3.97543859649123
X10915,32-42,120,2.8851902173913
X10915,32-42,480,3.31819069069069
X10915,35,0,4.07788011695907
X10915,37,0,3.86805555555556
X10915,42,0,0.749773550724637
X10916,25,0,3.23594782282282
X10916,25-35,120,3.9931432748538
X10916,25-35,480,4.10490497076024
X10916,30,0,4.23976608187134
X10916,32,0,4.74433479532164
X10916,32-42,120,3.17206268768769
X10916,32-42,480,3.64527777777778
X10916,35,0,5.00625
X10916,37,0,4.62255116959064
X10916,42,0,0.978034420289854
X10917,25,0,1.17672672672673
X10917,25-35,120,0.857009648932875
X10917,25-35,480,1.26837271434088
X10917,30,0,NA
X10917,32,0,1.15411211989987
X10917,32-42,120,2.37156495967701
X10917,32-42,480,3.04704431134625
X10917,35,0,4.05111111111111
X10917,37,0,3.07944697414806
X10917,42,0,1.18570737507654
X10918,25,0,3.20324142373815
X10918,25-35,120,3.79793425894314
X10918,25-35,480,3.99151824665225
X10918,30,0,3.94615497076023
X10918,32,0,4.35044924127442
X10918,32-42,120,3.09984486280571
X10918,32-42,480,3.38702116788138
X10918,35,0,4.48810164985001
X10918,37,0,4.36312134502924
X10918,42,0,0.417716422607576
X10919,25,0,3.09079775498871
X10919,25-35,120,3.59693856454611
X10919,25-35,480,3.79301458594135
X10919,30,0,3.8825
X10919,32,0,3.97083252222681
X10919,32-42,120,2.52065708301646
X10919,32-42,480,2.92747050809216
X10919,35,0,4.15002382120803
X10919,37,0,3.91269005847953
X10919,42,0,0.543752640949279
X10920,25,0,3.078347570444
X10920,25-35,120,3.37850498842988
X10920,25-35,480,3.58104529418459
X10920,30,0,3.71611111111111
X10920,32,0,3.8635562952847
X10920,32-42,120,2.5985351870686
X10920,32-42,480,2.79192262933613
X10920,35,0,3.94891656755603
X10920,37,0,3.66861111111111
X10920,42,0,0.823414390980549
X10921,25,0,2.99230607818855
X10921,25-35,120,3.33250001666057
X10921,25-35,480,3.4595300874449
X10921,30,0,3.54083333333333
X10921,32,0,3.6510288873715
X10921,32-42,120,2.60275192335666
X10921,32-42,480,2.81715213017499
X10921,35,0,3.53557681117254
X10921,37,0,3.37257695195195
X10921,42,0,0.825383443581792
X10922,25,0,3.02521003417505
X10922,25-35,120,3.67111111111111
X10922,25-35,480,3.73111111111111
X10922,30,0,3.76472222222222
X10922,32,0,4.26805555555556
X10922,32-42,120,3.18933199503852
X10922,32-42,480,3.62029466966967
X10922,35,0,4.34795321637427
X10922,37,0,4.48245614035088
X10922,42,0,0.585144927536232
X10923,25,0,2.6838768115942
X10923,25-35,120,2.73530271783638
X10923,25-35,480,2.94180579343436
X10923,30,0,3.02815315315315
X10923,32,0,3.07371013445714
X10923,32-42,120,1.6119802484383
X10923,32-42,480,1.7267479177539
X10923,35,0,2.62432065217391
X10923,37,0,2.1021286231884
X10923,42,0,0.0519752370064154
X10925,25,0,3.3217620761218
X10925,25-35,120,3.69420744660673
X10925,25-35,480,4.01008491661326
X10925,30,0,4.1581067251462
X10925,32,0,4.29359421513839
X10925,32-42,120,2.79269239772264
X10925,32-42,480,3.38409295279997
X10925,35,0,4.43610957755695
X10925,37,0,4.51498538011696
X10925,42,0,0.71643236016302
X10926,25,0,3.16840277777778
X10926,25-35,120,3.86067799021281
X10926,25-35,480,4.0986458214787
X10926,30,0,4.01127923976608
X10926,32,0,4.50018490891837
X10926,32-42,120,3.27428249880835
X10926,32-42,480,3.77829833845453
X10926,35,0,4.90208333333333
X10926,37,0,4.46637426900585
X10926,42,0,0.792039542647308
X10927,25,0,2.94650880921857
X10927,25-35,120,3.77303733351423
X10927,25-35,480,4.00535914263826
X10927,30,0,3.88282894736842
X10927,32,0,4.55260964912281
X10927,32-42,120,3.44558158134464
X10927,32-42,480,3.74665728228228
X10927,35,0,4.83210636154289
X10927,37,0,4.38468567251462
X10927,42,0,0.880208333333335
X10928,25,0,2.71082427536232
X10928,25-35,120,3.13543445075321
X10928,25-35,480,3.26039817170418
X10928,30,0,3.34076764264264
X10928,32,0,3.62658415841584
X10928,32-42,120,2.76128844621114
X10928,32-42,480,2.98289734543764
X10928,35,0,3.99517543859649
X10928,37,0,3.90694444444444
X10928,42,0,0.545948737205899
X10929,25,0,2.06250148161002
X10929,25-35,120,2.83925234069703
X10929,25-35,480,3.04195651789054
X10929,30,0,2.83944746376812
X10929,32,0,3.39614989947271
X10929,32-42,120,2.94987257803887
X10929,32-42,480,3.09440544010298
X10929,35,0,3.6843999478074
X10929,37,0,3.79527777777778
X10929,42,0,0.129524724991304
X10930,25,0,2.84545543190631
X10930,25-35,120,3.6530781267782
X10930,25-35,480,3.56932713098896
X10930,30,0,3.78083333333333
X10930,32,0,4.07402053853962
X10930,32-42,120,2.87999023727542
X10930,32-42,480,3.12051017998721
X10930,35,0,4.35474941724942
X10930,37,0,3.94611111111111
X10930,42,0,1.03258550532154
X10931,25,0,2.94938858695652
X10931,25-35,120,3.42721651526728
X10931,25-35,480,3.55251431536754
X10931,30,0,3.85625
X10931,32,0,4.13328947368421
X10931,32-42,120,2.83845000391364
X10931,32-42,480,3.08039906184347
X10931,35,0,3.98137061403509
X10931,37,0,3.54604917417418
X10931,42,0,1.00883152173913
X10932,25,0,3.14602355072464
X10932,25-35,120,3.28810019754305
X10932,25-35,480,3.36212699239705
X10932,30,0,3.67083333333333
X10932,32,0,3.71268929479155
X10932,32-42,120,2.32575276754747
X10932,32-42,480,2.71285701761042
X10932,35,0,3.97079678362573
X10932,37,0,3.00657282282282
X10932,42,0,0.215951207163936
X10934,25,0,3.07573198198198
X10934,25-35,120,3.69321410804333
X10934,25-35,480,3.91000886503819
X10934,30,0,3.97896198830409
X10934,32,0,3.96666666666667
X10934,32-42,120,2.92100899003747
X10934,32-42,480,3.57818130630631
X10934,35,0,4.68019289913038
X10934,37,0,3.83694444444445
X10934,42,0,1.03849637681159
X10935,25,0,3.36322276080428
X10935,25-35,120,4.01249640617419
X10935,25-35,480,3.95210889192367
X10935,30,0,4.13270467836257
X10935,32,0,4.77190466595021
X10935,32-42,120,3.46652830066325
X10935,32-42,480,3.81221065209969
X10935,35,0,4.98720760233918
X10935,37,0,4.63633040935673
X10935,42,0,0.247453804404887
X10936,25,0,2.8554840352767
X10936,25-35,120,3.18445030976617
X10936,25-35,480,3.17262985399016
X10936,30,0,3.58611111111111
X10936,32,0,3.44751602746481
X10936,32-42,120,2.38184016324471
X10936,32-42,480,2.66320347902579
X10936,35,0,3.69972779879094
X10936,37,0,3.17282657657658
X10936,42,0,0.044418365585439
X10937,25,0,3.17416601383993
X10937,25-35,120,3.36414037090859
X10937,25-35,480,3.47557637248587
X10937,30,0,4.19861111111111
X10937,32,0,3.92245614035088
X10937,32-42,120,2.32223785973425
X10937,32-42,480,2.89562139134324
X10937,35,0,4.45486111111111
X10937,37,0,3.0727271021021
X10937,42,0,0.367527173913043
X10938,25,0,2.95176630434783
X10938,25-35,120,2.96554417357577
X10938,25-35,480,3.11514274564596
X10938,30,0,3.47305555555556
X10938,32,0,3.39008080118357
X10938,32-42,120,2.3036524204904
X10938,32-42,480,2.59794192365488
X10938,35,0,3.62916666666667
X10938,37,0,3.13372184684685
X10938,42,0,0.0343410946619692
X10939,25,0,3.13661974474475
X10939,25-35,120,3.31473066272144
X10939,25-35,480,3.72585912901635
X10939,30,0,3.71944444444444
X10939,32,0,3.7500476082091
X10939,32-42,120,2.40852962050164
X10939,32-42,480,2.5826068334746
X10939,35,0,3.62853070175439
X10939,37,0,3.05410097597598
X10939,42,0,0.31456590325829
X10941,25,0,3.08049965726596
X10941,25-35,120,3.85283942187322
X10941,25-35,480,4.04168772049619
X10941,30,0,4.08361111111111
X10941,32,0,4.38344718537792
X10941,32-42,120,3.41975566382361
X10941,32-42,480,3.80990099009901
X10941,35,0,5.15
X10941,37,0,4.68183479532163
X10941,42,0,0.665795828620138
X10942,25,0,2.94299190494843
X10942,25-35,120,3.19880999421617
X10942,25-35,480,3.61056276317287
X10942,30,0,3.60638888888889
X10942,32,0,3.8687574671714
X10942,32-42,120,2.92285422919711
X10942,32-42,480,3.23959890639163
X10942,35,0,4.32273391812866
X10942,37,0,4.17047514619883
X10942,42,0,0.837242294894959
X10943,25,0,3.23648648648649
X10943,25-35,120,3.79572360684344
X10943,25-35,480,3.91062734721748
X10943,30,0,4.12008040935673
X10943,32,0,4.2777300647957
X10943,32-42,120,2.95224841786501
X10943,32-42,480,3.0304313679739
X10943,35,0,4.63578216374269
X10943,37,0,3.71638888888889
X10943,42,0,1.0022867510964
X10946,25,0,3.1282008911085
X10946,25-35,120,3.87956318045598
X10946,25-35,480,3.77151160805736
X10946,30,0,4.01722222222222
X10946,32,0,4.34093645025155
X10946,32-42,120,2.94100784064271
X10946,32-42,480,2.97924149624399
X10946,35,0,4.33870614035088
X10946,37,0,3.88555555555556
X10946,42,0,0.972392774416028
X10948,25,0,2.99031776341559
X10948,25-35,120,3.43959501169383
X10948,25-35,480,3.37365526563382
X10948,30,0,3.75944444444444
X10948,32,0,3.95849031114545
X10948,32-42,120,2.95879725938958
X10948,32-42,480,3.02431752168376
X10948,35,0,4.18304093567251
X10948,37,0,3.65638888888889
X10948,42,0,1.13025238877999
X10950,25,0,3.0590166980044
